time/iterations,time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_len_mean,train/n_updates,train/clip_range,train/value_loss,train/approx_kl,train/policy_gradient_loss,rollout/ep_rew_mean,train/loss,train/clip_fraction,train/explained_variance,train/learning_rate,train/entropy_loss
101,51712,35,1476,1017.48,1000,0.2,5263.209323120117,0.0,-8.839211659505963e-07,1656.82,2283.042724609375,0.0,1.1324882507324219e-06,1e-06,-1.9458524242043496
102,52224,35,1489,1017.48,1010,0.2,1934.5025329589844,0.0,-9.874813258647918e-07,1656.82,914.3626708984375,0.0,1.430511474609375e-06,1e-06,-1.945852379500866
103,52736,35,1503,1017.48,1020,0.2,337.6383382797241,6.2864274e-08,-2.996161056216806e-05,1656.82,66.9510269165039,0.0,6.198883056640625e-06,1e-06,-1.9458511158823968
104,53248,35,1516,1042.450980392157,1030,0.2,312.76214294433595,8.8475645e-09,-5.35043072886765e-06,1675.2745098039215,237.77841186523438,0.0,1.3113021850585938e-06,1e-06,-1.945847798883915
105,53760,35,1529,1042.450980392157,1040,0.2,2249.594062805176,0.0,-5.5893964599817995e-06,1675.2745098039215,1448.858642578125,0.0,3.5762786865234375e-07,1e-06,-1.9458472698926925
106,54272,35,1542,1042.450980392157,1050,0.2,872.2032138824463,0.0,-2.145592588931322e-06,1675.2745098039215,288.9209289550781,0.0,7.748603820800781e-07,1e-06,-1.9458467721939088
107,54784,35,1556,1042.450980392157,1060,0.2,3147.063217163086,0.0,-1.7582729924470187e-06,1675.2745098039215,1574.050537109375,0.0,3.5762786865234375e-07,1e-06,-1.9458465695381164
108,55296,35,1569,1058.8846153846155,1070,0.2,242.2791139125824,3.3294782e-08,-1.2257721391506492e-05,1681.1923076923076,186.71812438964844,0.0,-2.6226043701171875e-06,1e-06,-1.9458466663956642
109,55808,35,1582,1047.3962264150944,1080,0.2,1404.7080268859863,0.0,-2.3258151486515997e-06,1678.3207547169811,710.9552001953125,0.0,1.1920928955078125e-07,1e-06,-1.9458463683724403
110,56320,35,1595,1047.3962264150944,1090,0.2,4122.647430419922,0.0,-1.6959966160356997e-07,1678.3207547169811,1638.0723876953125,0.0,7.152557373046875e-07,1e-06,-1.9458463579416274
111,56832,35,1609,1047.3962264150944,1100,0.2,1829.598397064209,0.0,-7.655587978661061e-07,1678.3207547169811,833.1575927734375,0.0,9.5367431640625e-07,1e-06,-1.94584631472826
112,57344,35,1622,1047.3962264150944,1110,0.2,407.8171003341675,5.4133125e-08,-1.071050064638257e-05,1678.3207547169811,229.1168212890625,0.0,2.8014183044433594e-06,1e-06,-1.9458443537354468
113,57856,35,1639,1066.148148148148,1120,0.2,3503.4198928833007,0.0,1.2951320968568325e-06,1704.3333333333333,1916.7265625,0.0,7.152557373046875e-07,1e-06,-1.94584279358387
114,58368,35,1655,1052.8363636363636,1130,0.2,5807.079553222657,0.0,-3.7005520425736904e-07,1699.5272727272727,2458.334716796875,0.0,0.0,1e-06,-1.9458427414298058
115,58880,35,1671,1052.8363636363636,1140,0.2,1275.563404083252,0.0,-7.832422852516174e-07,1699.5272727272727,688.9805908203125,0.0,1.430511474609375e-06,1e-06,-1.9458427339792252
116,59392,35,1687,1052.8363636363636,1150,0.2,367.11786460876465,9.778887e-09,-8.426140993833542e-06,1699.5272727272727,149.44656372070312,0.0,-1.6689300537109375e-06,1e-06,-1.9458408877253532
117,59904,35,1700,1068.6785714285713,1160,0.2,19.62059975862503,8.1490725e-09,-7.942382944747806e-06,1698.75,7.726921081542969,0.0,0.0,1e-06,-1.945839624106884
118,60416,35,1713,1068.6785714285713,1170,0.2,3839.0667724609375,0.0,-3.1505362130701544e-06,1698.75,2318.27685546875,0.0,5.960464477539063e-08,1e-06,-1.9458389341831208
119,60928,35,1726,1068.6785714285713,1180,0.2,847.0327960968018,0.0,-1.6168516594916582e-06,1698.75,336.6101379394531,0.0,1.0728836059570312e-06,1e-06,-1.9458388343453408
120,61440,35,1742,1073.4736842105262,1190,0.2,2462.3192001342773,0.0,-4.41097654402256e-08,1701.842105263158,1066.655029296875,0.0,5.960464477539062e-07,1e-06,-1.9458388030529021
121,61952,35,1755,1067.7241379310344,1200,0.2,3415.0260208129885,0.0,-2.876447979360819e-07,1691.0862068965516,1797.191162109375,0.0,7.748603820800781e-07,1e-06,-1.9458387970924378
122,62464,35,1769,1067.7241379310344,1210,0.2,100.50843796730041,1.4808029e-07,-1.7922010738402604e-05,1691.0862068965516,24.594959259033203,0.0,1.0728836059570312e-06,1e-06,-1.9458394676446915
123,62976,35,1782,1067.7241379310344,1220,0.2,1147.2669120788573,0.0,-1.635297667235136e-06,1691.0862068965516,563.0296630859375,0.0,1.2516975402832031e-06,1e-06,-1.945838987827301
124,63488,35,1796,1075.7288135593221,1230,0.2,302.13173441886903,2.1839514e-07,-3.374597290530801e-05,1683.7118644067796,201.60997009277344,0.0,-9.5367431640625e-07,1e-06,-1.945837415754795
125,64000,35,1811,1075.7288135593221,1240,0.2,2073.290461730957,0.0,-1.2261501979082822e-06,1683.7118644067796,1148.7886962890625,0.0,1.7881393432617188e-07,1e-06,-1.9458359375596046
126,64512,35,1827,1074.0666666666666,1250,0.2,3613.13154296875,0.0,-4.573084879666567e-07,1684.0833333333333,2103.140380859375,0.0,4.76837158203125e-07,1e-06,-1.945835880935192
127,65024,35,1843,1074.0666666666666,1260,0.2,1572.0819137573242,0.0,-7.116759661585093e-07,1684.0833333333333,857.2208251953125,0.0,0.0,1e-06,-1.9458356097340583
128,65536,35,1856,1073.0655737704917,1270,0.2,459.87317485809325,0.0,-1.3039680197834969e-06,1680.032786885246,363.4418029785156,0.0,1.7285346984863281e-06,1e-06,-1.9458353415131568
129,66048,35,1870,1061.1290322580646,1280,0.2,2906.240283203125,0.0,-5.744979716837406e-07,1677.516129032258,1489.40869140625,0.0,3.5762786865234375e-07,1e-06,-1.9458352237939835
130,66560,35,1883,1048.3968253968253,1290,0.2,5889.874114990234,0.0,-3.4309341572225095e-07,1666.5079365079366,2998.04931640625,0.0,1.1920928955078125e-07,1e-06,-1.9458351865410806
131,67072,35,1896,1044.546875,1300,0.2,3206.7199645996093,0.0,-2.5724293664097784e-07,1668.28125,1362.5870361328125,0.0,2.384185791015625e-07,1e-06,-1.9458351373672484
132,67584,35,1910,1044.546875,1310,0.2,4926.405453491211,0.0,-4.851957783102989e-07,1668.28125,2411.009033203125,0.0,5.960464477539063e-08,1e-06,-1.945835117995739
133,68096,35,1923,1031.2424242424242,1320,0.2,967.0764158248901,0.0,-6.237532943487167e-06,1658.5454545454545,524.291259765625,0.0,4.172325134277344e-07,1e-06,-1.9458349123597145
134,68608,35,1936,1023.4626865671642,1330,0.2,5504.581823730468,0.0,-1.530494773760438e-06,1655.6268656716418,3081.9462890625,0.0,2.980232238769531e-07,1e-06,-1.9458342403173448
135,69120,35,1950,1023.4626865671642,1340,0.2,4557.937124633789,0.0,-9.519921150058508e-07,1655.6268656716418,2226.48779296875,0.0,1.1920928955078125e-07,1e-06,-1.9458341628313065
136,69632,35,1963,1021.7205882352941,1350,0.2,3926.074868774414,0.0,-5.783746019005775e-07,1658.9411764705883,1600.589111328125,0.0,2.384185791015625e-07,1e-06,-1.9458341240882873
